Date,Open,High,Low,Close,Adj Close,Volume
2021-08-31,244.333328,246.796661,242.146667,245.240005,245.240005,62566200
2021-09-01,244.693329,247.330002,243.756668,244.696671,244.696671,39612900
2021-09-02,244.833328,246.990005,243.513336,244.130005,244.130005,38331900
2021-09-03,244.083328,244.666672,241.399994,244.523331,244.523331,45738300
2021-09-07,246.666672,253.399994,246.419998,250.973328,250.973328,60119400
2021-09-08,253.860001,254.816666,246.923340,251.289993,251.289993,56379000
2021-09-09,251.136673,254.033340,250.543335,251.619995,251.619995,42233100
2021-09-10,253.199997,254.203339,244.839996,245.423340,245.423340,45552600
2021-09-13,246.736664,248.259995,236.283340,247.666672,247.666672,68857500
2021-09-14,247.523331,251.490005,245.466660,248.163330,248.163330,55574700
2021-09-15,248.333328,252.286667,246.119995,251.943329,251.943329,46073100
2021-09-16,250.943329,252.970001,249.203339,252.330002,252.330002,41770200
2021-09-17,252.383331,253.679993,250.000000,253.163330,253.163330,84612600
2021-09-20,244.853333,247.333328,239.539993,243.389999,243.389999,74273100
2021-09-21,244.929993,248.246674,243.479996,246.460007,246.460007,48992100
2021-09-22,247.843338,251.223328,246.373337,250.646667,250.646667,45378900
2021-09-23,251.666672,252.733337,249.306671,251.213333,251.213333,35842500
2021-09-24,248.630005,258.266663,248.186661,258.130005,258.130005,64119000
2021-09-27,257.706665,266.333344,256.436676,263.786682,263.786682,84212100
2021-09-28,262.399994,265.213318,255.393326,259.186676,259.186676,76144200
2021-09-29,259.933319,264.500000,256.893341,260.436676,260.436676,62828700
2021-09-30,260.333344,263.043335,258.333344,258.493347,258.493347,53868000
2021-10-01,259.466675,260.260010,254.529999,258.406677,258.406677,51094200
2021-10-04,265.500000,268.989990,258.706665,260.510010,260.510010,91449900
2021-10-05,261.600006,265.769989,258.066681,260.196655,260.196655,55297800
2021-10-06,258.733337,262.220001,257.739990,260.916656,260.916656,43898400
2021-10-07,261.820007,268.333344,261.126678,264.536682,264.536682,57587400
2021-10-08,265.403320,265.459991,260.303345,261.829987,261.829987,50215800
2021-10-11,262.549988,267.079987,261.833344,263.980011,263.980011,42600900
2021-10-12,266.976654,270.773346,265.523346,268.573334,268.573334,66060000
2021-10-13,270.156677,271.803345,268.593323,270.359985,270.359985,42360300
2021-10-14,271.829987,273.416656,271.116669,272.773346,272.773346,36741600
2021-10-15,274.579987,281.070007,274.116669,281.010010,281.010010,56773800
2021-10-18,283.929993,291.753326,283.823334,290.036682,290.036682,72621600
2021-10-19,292.510010,292.649994,287.503326,288.089996,288.089996,52143300
2021-10-20,288.450012,289.829987,285.793335,288.600006,288.600006,42096300
2021-10-21,285.333344,300.000000,285.166656,298.000000,298.000000,94444500
2021-10-22,298.500000,303.333344,296.986664,303.226654,303.226654,68642400
2021-10-25,316.843323,348.339996,314.733337,341.619995,341.619995,188556300
2021-10-26,341.563324,364.980011,333.813324,339.476654,339.476654,187245000
2021-10-27,346.553345,356.959991,343.593323,345.953339,345.953339,115579500
2021-10-28,356.103333,360.333344,351.399994,359.013336,359.013336,81639600
2021-10-29,360.619995,371.736664,357.736664,371.333344,371.333344,89755200
2021-11-01,381.666656,403.250000,372.886658,402.863342,402.863342,168146100
2021-11-02,386.453339,402.863342,382.000000,390.666656,390.666656,128213400
2021-11-03,392.443329,405.130005,384.206665,404.619995,404.619995,103885500
2021-11-04,411.470001,414.496674,405.666656,409.970001,409.970001,76192200
2021-11-05,409.333344,413.290009,402.666656,407.363342,407.363342,64886400
2021-11-08,383.263336,399.000000,377.666656,387.646667,387.646667,100337100
2021-11-09,391.200012,391.500000,337.173340,341.166656,341.166656,177317400
2021-11-10,336.803345,359.366669,329.103333,355.983337,355.983337,128408100
2021-11-11,367.589996,368.323334,351.559998,354.503326,354.503326,67189800
2021-11-12,349.166656,351.500000,339.733337,344.473328,344.473328,76719300
2021-11-15,339.209991,343.993347,326.200012,337.796661,337.796661,104326800
2021-11-16,334.436676,352.399994,334.059998,351.576660,351.576660,79627200
2021-11-17,354.503326,373.213318,351.833344,363.003326,363.003326,94336200
2021-11-18,368.850006,370.666656,358.339996,365.459991,365.459991,62696700
2021-11-19,366.290009,379.573334,364.233337,379.019989,379.019989,64926900
2021-11-22,387.443329,400.649994,377.476654,385.623322,385.623322,99217500
2021-11-23,389.170013,393.500000,354.233337,369.676666,369.676666,108515100
2021-11-24,360.130005,377.589996,354.000000,372.000000,372.000000,67680600
2021-11-26,366.489990,369.593323,360.333344,360.640015,360.640015,35042700
2021-11-29,366.996674,380.890015,366.730011,378.996674,378.996674,58393500
2021-11-30,381.456665,389.333344,372.666656,381.586670,381.586670,81276000
2021-12-01,386.899994,390.946655,363.586670,365.000000,365.000000,68450400
2021-12-02,366.353333,371.000000,352.216675,361.533325,361.533325,73114800
2021-12-03,361.596680,363.526672,333.403320,338.323334,338.323334,92322000
2021-12-06,333.836670,340.546661,316.833344,336.336670,336.336670,81663000
2021-12-07,348.066681,352.556671,342.269989,350.583344,350.583344,56084700
2021-12-08,350.903320,357.459991,344.333344,356.320007,356.320007,41906400
2021-12-09,353.546661,354.163330,334.119995,334.600006,334.600006,59438400
2021-12-10,336.250000,340.326660,327.510010,339.010010,339.010010,59664300
2021-12-13,333.696655,335.000000,317.140015,322.136658,322.136658,78595500
2021-12-14,315.000000,322.136658,310.000000,319.503326,319.503326,70806300
2021-12-15,317.736664,326.250000,309.416656,325.329987,325.329987,75169200
2021-12-16,331.500000,331.660004,307.283325,308.973328,308.973328,82771500
2021-12-17,304.923340,320.220001,303.013336,310.856659,310.856659,100437300
