,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-08-31,246.0038308743817,202.9923916801187,287.3359725400906,246.0038308743817,246.0038308743817,0.04857969732408777,0.04857969732408777,0.04857969732408777,0.04857969732408777,0.04857969732408777,0.04857969732408777,0.0,0.0,0.0,246.0524105717058
1,2021-09-01,247.26001023846462,206.36890194834714,288.04101400639314,247.26001023846462,247.26001023846462,1.4096944973880088,1.4096944973880088,1.4096944973880088,1.4096944973880088,1.4096944973880088,1.4096944973880088,0.0,0.0,0.0,248.66970473585263
2,2021-09-02,248.51618960254754,208.5410947346293,289.26528087732265,248.51618960254754,248.51618960254754,-0.7821673464481524,-0.7821673464481524,-0.7821673464481524,-0.7821673464481524,-0.7821673464481524,-0.7821673464481524,0.0,0.0,0.0,247.7340222560994
3,2021-09-03,249.77236896663044,204.7535605152386,283.30775098947356,249.77236896663044,249.77236896663044,-2.3712978555388022,-2.3712978555388022,-2.3712978555388022,-2.3712978555388022,-2.3712978555388022,-2.3712978555388022,0.0,0.0,0.0,247.40107111109162
4,2021-09-07,254.79708642296208,215.4758179469998,298.40276789302743,254.79708642296208,254.79708642296208,0.04857969732950006,0.04857969732950006,0.04857969732950006,0.04857969732950006,0.04857969732950006,0.04857969732950006,0.0,0.0,0.0,254.84566612029158
5,2021-09-08,256.053265787045,213.53337343284434,297.8891608044536,256.053265787045,256.053265787045,1.4096944973940795,1.4096944973940795,1.4096944973940795,1.4096944973940795,1.4096944973940795,1.4096944973940795,0.0,0.0,0.0,257.4629602844391
6,2021-09-09,257.30944515112793,213.53542160286457,296.62597573558776,257.30944515112793,257.30944515112793,-0.782167346436369,-0.782167346436369,-0.782167346436369,-0.782167346436369,-0.782167346436369,-0.782167346436369,0.0,0.0,0.0,256.52727780469155
7,2021-09-10,258.56562451521086,217.84082929610796,297.8298234508625,258.56562451521086,258.56562451521086,-2.3712978555316173,-2.3712978555316173,-2.3712978555316173,-2.3712978555316173,-2.3712978555316173,-2.3712978555316173,0.0,0.0,0.0,256.19432665967923
8,2021-09-13,262.33416260745963,227.5215479197277,307.4354289495314,262.33416260745963,262.33416260745963,3.358869670631638,3.358869670631638,3.358869670631638,3.358869670631638,3.358869670631638,3.358869670631638,0.0,0.0,0.0,265.69303227809127
9,2021-09-14,263.59034198828977,222.2660145350239,307.63845151500436,263.59034198828977,263.59034198828977,0.04857969732871527,0.04857969732871527,0.04857969732871527,0.04857969732871527,0.04857969732871527,0.04857969732871527,0.0,0.0,0.0,263.63892168561847
10,2021-09-15,264.84652136911984,226.8420025219336,308.9670750266955,264.84652136911984,264.84652136911984,1.4096944973915857,1.4096944973915857,1.4096944973915857,1.4096944973915857,1.4096944973915857,1.4096944973915857,0.0,0.0,0.0,266.2562158665114
11,2021-09-16,266.10270074995003,224.4347986584599,307.90981679844816,266.10270074995003,266.10270074995003,-0.7821673464455313,-0.7821673464455313,-0.7821673464455313,-0.7821673464455313,-0.7821673464455313,-0.7821673464455313,0.0,0.0,0.0,265.3205334035045
12,2021-09-17,267.3588801307801,223.784703454053,306.32111697877883,267.3588801307801,267.3588801307801,-2.3712978555304627,-2.3712978555304627,-2.3712978555304627,-2.3712978555304627,-2.3712978555304627,-2.3712978555304627,0.0,0.0,0.0,264.9875822752496
13,2021-09-20,271.12741827327045,231.02462762645183,319.63449060952087,271.12741827327045,271.12741827327045,3.3588696706313415,3.3588696706313415,3.3588696706313415,3.3588696706313415,3.3588696706313415,3.3588696706313415,0.0,0.0,0.0,274.4862879439018
14,2021-09-21,272.3835976541006,232.7990492694499,312.3615759344268,272.3835976541006,272.3835976541006,0.04857969732420956,0.04857969732420956,0.04857969732420956,0.04857969732420956,0.04857969732420956,0.04857969732420956,0.0,0.0,0.0,272.4321773514248
15,2021-09-22,273.6397770349307,233.68959201072727,312.8207285553776,273.6397770349307,273.6397770349307,1.409694497392089,1.409694497392089,1.409694497392089,1.409694497392089,1.409694497392089,1.409694497392089,0.0,0.0,0.0,275.0494715323228
16,2021-09-23,274.8959564157608,232.12805220365638,318.1857342910229,274.8959564157608,274.8959564157608,-0.7821673464442208,-0.7821673464442208,-0.7821673464442208,-0.7821673464442208,-0.7821673464442208,-0.7821673464442208,0.0,0.0,0.0,274.11378906931657
17,2021-09-24,276.15213580394254,232.6881378999507,315.40053972115334,276.15213580394254,276.15213580394254,-2.3712978555335855,-2.3712978555335855,-2.3712978555335855,-2.3712978555335855,-2.3712978555335855,-2.3712978555335855,0.0,0.0,0.0,273.78083794840893
18,2021-09-27,279.92067396848773,242.3282523821209,321.5414195872461,279.92067396848773,279.92067396848773,3.3588696706317887,3.3588696706317887,3.3588696706317887,3.3588696706317887,3.3588696706317887,3.3588696706317887,0.0,0.0,0.0,283.27954363911954
19,2021-09-28,281.1768533566695,239.5882238963209,320.5319784104857,281.1768533566695,281.1768533566695,0.04857969732466276,0.04857969732466276,0.04857969732466276,0.04857969732466276,0.04857969732466276,0.04857969732466276,0.0,0.0,0.0,281.22543305399415
20,2021-09-29,282.4330327448512,244.13779630196885,325.72188738905913,282.4330327448512,282.4330327448512,1.409694497389595,1.409694497389595,1.409694497389595,1.409694497389595,1.409694497389595,1.409694497389595,0.0,0.0,0.0,283.84272724224076
